Battle_Tag,Hero1,Hero2,Hero3,Hero4,Hero5
ChickenLil-11717,Genji,Hanzo,Widowmaker,McCree,Tracer
Zesar-1793,McCree,Hanzo,Roadhog,Genji,Widowmaker
aidanheat-1766,Genji,Hanzo,Tracer,D.Va,Widowmaker
CoolFrog-2770,Roadhog,Widowmaker,McCree,Soldier: 76,Torbjörn
Attacler-2292,Hanzo,Genji,Widowmaker,Pharah,McCree
Moronlad-1949,Mercy,Ana,Moira,Hanzo,Zarya
Fade-12532,Reinhardt,Reaper,Hanzo,Mercy,McCree
Mei-31112,Hanzo,Mei,Sombra,Tracer,Widowmaker
Orionz-21692,Doomfist,Tracer,Zenyatta,Ana,Mei
BrookerBear-1577,D.Va,Widowmaker,Mercy,Lúcio,Symmetra
Slan-31703,Genji,McCree,Ana,Tracer,Roadhog
MortKz-2469,Genji,Ashe,Hanzo,Tracer,McCree
ReaperHaven-1656,Hanzo,Ana,Reinhardt,Genji,Doomfist
Rice9701-1701,McCree,Doomfist,Widowmaker,Hanzo,Genji
Liltank-11690,Moira,Roadhog,Lúcio,D.Va,Orisa
Prime-12564,Genji,Reaper,Roadhog,Hanzo,Soldier: 76
HigHstem-2101,D.Va,Reaper,Moira,Soldier: 76,Widowmaker
DoctorĀ-2695,Mercy,Moira,Ana,Ashe,Mei
Pawzz-1116,Reinhardt,Zenyatta,Mercy,Widowmaker,Hanzo
sleep-21261,Genji,Hanzo,Tracer,Widowmaker,Bastion
darkm0de-2150,Zenyatta,Tracer,McCree,Hanzo,Moira
Hengzzz-1197,Roadhog,Zenyatta,Lúcio,Hanzo,Reinhardt
Regalia-21518,Pharah,Mei,Lúcio,Ana,Symmetra
MIRO-31166,Lúcio,Hanzo,Genji,Reaper,Bastion
LUCIO-31987,Sombra,Mercy,D.Va,Ana,Lúcio
Twitchy-1838,Tracer,Hanzo,Widowmaker,Mei,McCree
Rovu-21231,Pharah,Roadhog,Junkrat,Lúcio,Mei
LaiRS-11800,Mercy,Ana,D.Va,Widowmaker,Moira
Faint-2788,Doomfist,Junkrat,Winston,Torbjörn,Soldier: 76
ǍŜPĦŶXƗȀ-2632,Ana,McCree,Genji,Sigma,Hanzo
Darkcyprus-1429,Reinhardt,Lúcio,Soldier: 76,Genji,Ana
YOURSELF-11433,Genji,Widowmaker,Tracer,McCree,Soldier: 76
Zauced-1797,Genji,McCree,Soldier: 76,Tracer,Widowmaker
TeMpt-11522,Widowmaker,Hanzo,Genji,McCree,Lúcio
DJhoDoc11-1784,Baptiste,Lúcio,Sigma,Ana,Wrecking Ball
Bum-12306,Tracer,Ana,Mercy,Reinhardt,Genji
XNAL3MWX-2366,Genji,Reaper,Tracer,McCree,Hanzo
Rheora-2331,Tracer,Widowmaker,Ana,Moira,Orisa
goth-11889,Tracer,Genji,McCree,Pharah,Hanzo
Rickvdmeyyy-2782,Winston,Reinhardt,Ana,Hanzo,Tracer
SgtSpeedy-2353,Pharah,D.Va,Hanzo,Genji,McCree
AWOKENGOLDY-2144,Zarya,Roadhog,Wrecking Ball,Sigma,D.Va
SoftCorgi-2616,Mercy,D.Va,Moira,Widowmaker,Ana
DudeBro-11870,Genji,Junkrat,Roadhog,Pharah,Soldier: 76
Kenshin-12318,Genji,Doomfist,Mei,Ashe,Ana
boolin-11437,Zarya,Hanzo,Ana,Symmetra,Zenyatta
HighHeals-11192,Moira,Lúcio,Mercy,Zarya,Roadhog
XTRON-11725,Reinhardt,D.Va,Mercy,Winston,Moira
BALE-31400,Soldier: 76,Bastion,Reinhardt,Winston,Mercy
TerraWalker-11539,Brigitte,Moira,Lúcio,Ana,Baptiste
Saltric-11623,Genji,Pharah,Soldier: 76,Zarya,Junkrat
BlindBandit-21766,D.Va,Ana,Torbjörn,Lúcio,Zarya
Crywing-2409,McCree,Tracer,Soldier: 76,Roadhog,Zarya
nice-2335,Zarya,Roadhog,Winston,Reinhardt,Orisa
Burpyperpy-1371,Widowmaker,McCree,Hanzo,Junkrat,Tracer
KnuckleBob-11435,Lúcio,McCree,Zenyatta,Soldier: 76,Ana
Macbeth-2664,Genji,McCree,Pharah,Roadhog,Zarya
Marow-11487,Zarya,Zenyatta,D.Va,Roadhog,Soldier: 76
Exils-2214,McCree,Tracer,Genji,Ana,Widowmaker
Nimring-2534,Roadhog,Ana,Mei,Winston,Mercy
Reed-21567,Hanzo,Genji,Widowmaker,Lúcio,McCree
QuavoSensei-1416,Widowmaker,Genji,McCree,Roadhog,Hanzo
KevTheKoala-1766,Genji,Hanzo,Soldier: 76,Lúcio,Reaper
Erasing-1370,Reinhardt,Winston,Roadhog,Hanzo,Ana
BanFly-2537,Soldier: 76,Pharah,Hanzo,Roadhog,McCree
Rammion-11475,Lúcio,Mercy,Ana,Hanzo,Widowmaker
Andrew-1661,McCree,D.Va,Soldier: 76,Torbjörn,Hanzo
Brohimo-1895,Mercy,Mei,Reinhardt,Baptiste,Doomfist
Upright-1216,Doomfist,Genji,Hanzo,Widowmaker,Reaper
Monocratic-1249,Hanzo,Ana,Tracer,Widowmaker,McCree
ICEWALK-11233,Widowmaker,Soldier: 76,Reaper,Pharah,McCree
solidtrooper-1292,Tracer,Lúcio,Genji,Widowmaker,Wrecking Ball
Onni888-2754,Hanzo,McCree,Doomfist,Zarya,Genji
Howeezzy-1398,Genji,Reinhardt,Ana,Tracer,Mei
JLSchofield-2567,D.Va,Reinhardt,Orisa,Tracer,Pharah
Soloblade-1768,Tracer,Soldier: 76,Zarya,Mercy,D.Va
SaiNotPsy-2691,Widowmaker,Symmetra,Genji,Hanzo,Tracer
shruja-1162,Reinhardt,Roadhog,Zarya,Sigma,D.Va
swooby-11186,Doomfist,Hanzo,Junkrat,Widowmaker,Roadhog
PvP-11100,Torbjörn,Widowmaker,Junkrat,Reinhardt,Roadhog
Sushibob-1695,Hanzo,D.Va,Junkrat,Mei,Torbjörn
GooseyGander-21904,Lúcio,Mercy,Tracer,Symmetra,Sombra
Xire-2253,Zenyatta,Soldier: 76,Lúcio,Winston,Moira
Medicine-11700,Mercy,Sombra,Ana,Moira,Zarya
Kyle-16316,McCree,Zarya,Tracer,Pharah,Mei
Ongaar-1705,Genji,McCree,Soldier: 76,Widowmaker,Zarya
Umpa-21306,Reinhardt,Ana,Brigitte,Pharah,Roadhog
WildWolf-224927,McCree,Reinhardt,Reaper,Junkrat,Genji
SavageFilth-1934,Mei,Mercy,Torbjörn,Pharah,Hanzo
ThisAintBob-2283,Reinhardt,McCree,Roadhog,D.Va,Junkrat
MStranger-21833,Genji,Hanzo,Junkrat,D.Va,McCree
Quadril-1114,Lúcio,Genji,Tracer,Moira,Ana
Hacksign-11556,Ashe,Hanzo,Doomfist,Soldier: 76,McCree
Krisp-21202,D.Va,Hanzo,Reaper,Baptiste,Zarya
KastriTsan-2580,Hanzo,Widowmaker,Genji,Junkrat,Soldier: 76
NoYou2-2394,D.Va,Soldier: 76,McCree,Moira,Winston
BabyRein-2689,Wrecking Ball,Roadhog,Winston,Brigitte,Lúcio
Dovahkitten-2379,McCree,Genji,Tracer,Hanzo,Soldier: 76
Flaboogle-1669,Widowmaker,Tracer,Genji,McCree,Lúcio
BAZZAGAZZA-2518,Hanzo,Reinhardt,Moira,Mercy,Wrecking Ball
CrazyShadow-21580,Genji,Hanzo,Widowmaker,McCree,Pharah
Evottoman-1134,Lúcio,Reinhardt,Genji,McCree,Ana
Syuro-2738,Mercy,Genji,Hanzo,Widowmaker,Soldier: 76
JET-22833,Mercy,Reinhardt,Roadhog,Ana,Hanzo
FULLOFHELL-11300,Roadhog,Lúcio,Reinhardt,Zarya,Zenyatta
Mimic-11379,Hanzo,McCree,Reinhardt,Roadhog,Widowmaker
Ninjabossbro-1642,Genji,Hanzo,Widowmaker,McCree,D.Va
PointLess-21593,McCree,Genji,Soldier: 76,Tracer,Orisa
Spells38-2978,Genji,McCree,Soldier: 76,Hanzo,Junkrat
TPPH-21540,Lúcio,Genji,Widowmaker,Tracer,Ana
Zero-118558,Ana,McCree,Zenyatta,Widowmaker,Orisa
Connecting-11336,Genji,Hanzo,Mercy,Lúcio,D.Va
DogOTronMK1-1154,Genji,Zenyatta,Ana,Tracer,D.Va
TheProfessor-11474,Junkrat,Hanzo,Soldier: 76,McCree,Mercy
BlueJaguar-11253,Zarya,Roadhog,Mercy,Reinhardt,Ana
LordItachi-11656,D.Va,Moira,Mercy,Pharah,Brigitte
Tyche-11882,Pharah,Doomfist,McCree,Roadhog,Zarya
WozwalD-2881,Widowmaker,Ashe,Wrecking Ball,Winston,Bastion
GeiNeega-2635,Widowmaker,McCree,Roadhog,Ana,Hanzo
Sk1LL0-1164,Widowmaker,Zarya,Wrecking Ball,McCree,Torbjörn
Rastical-1200,Widowmaker,Hanzo,Genji,McCree,Soldier: 76
Thanatok-2314,D.Va,Pharah,Moira,Roadhog,Lúcio
thegreatgila-1486,Roadhog,Widowmaker,Wrecking Ball,Pharah,Genji
WolfFangFist-11317,Moira,Tracer,Mei,Roadhog,Baptiste
Near-11421,Zenyatta,D.Va,Ana,Widowmaker,Mercy
Gucci-11308,McCree,Pharah,Tracer,Genji,Ana
MooseMunch-11132,Hanzo,McCree,Zenyatta,Reaper,Wrecking Ball
CaRLeSGo-2550,Zenyatta,McCree,Widowmaker,Ashe,Roadhog
Geny-21909,Genji,Doomfist,Hanzo,Tracer,Widowmaker
PurpleAster-1857,Soldier: 76,Reinhardt,Lúcio,Bastion,Widowmaker
Senpai-13363,Zarya,Torbjörn,Reinhardt,Mercy,Lúcio
FrozenToilet-11872,Widowmaker,Moira,Mercy,Reinhardt,Bastion
Shakti-1500,Soldier: 76,Hanzo,Genji,Widowmaker,McCree
wotwow-2734,Roadhog,Pharah,Bastion,Lúcio,D.Va
Autonomy-11175,Zenyatta,Mei,Lúcio,Widowmaker,Pharah
NeiLo-21125,Genji,Tracer,Soldier: 76,Widowmaker,Hanzo
Horddus-1868,Zenyatta,D.Va,Orisa,Zarya,Moira
ReDo-11788,Hanzo,Widowmaker,Genji,Tracer,Lúcio
MAIN-11280,Widowmaker,Zenyatta,Brigitte,Reaper,D.Va
Lyreen-1122,Pharah,Hanzo,Doomfist,Junkrat,Ashe
Billyfun4-1321,D.Va,Mei,Hanzo,Soldier: 76,Tracer
BabySquib-1123,McCree,Genji,Ana,Doomfist,Lúcio
MIRAGE-22984,Genji,Hanzo,Roadhog,Reaper,Widowmaker
Sixowe-1740,Pharah,Winston,Torbjörn,Soldier: 76,Junkrat
Seekay-1489,Reaper,Genji,Hanzo,McCree,Reinhardt
Eru-21826,Hanzo,Genji,McCree,Tracer,Lúcio
Kabiri-11597,Genji,Tracer,Mercy,Pharah,Soldier: 76
Dboy-11352,Widowmaker,McCree,Soldier: 76,Junkrat,Genji
IvanTheGr8-1559,Mei,D.Va,Hanzo,Genji,Ana
Jeydon-1346,Ana,Moira,Mercy,Widowmaker,Zenyatta
WorldXI-3407,Mercy,Zarya,Ana,Lúcio,Soldier: 76
CapsLock-12112,Sigma,Lúcio,Wrecking Ball,D.Va,McCree
Zork-21195,Reinhardt,Winston,Hanzo,Roadhog,Moira
iddomarks-2368,Widowmaker,Hanzo,Reaper,Pharah,Tracer
Mobu-21513,Genji,Hanzo,McCree,Widowmaker,Ashe
BrittleBunch-1271,Tracer,D.Va,Symmetra,Zenyatta,Zarya
Squilter-21876,Genji,Widowmaker,Reaper,Mercy,Sombra
DaethChanter-1524,Mercy,Symmetra,Ana,Junkrat,Moira
HanaSong-2556,D.Va,Reinhardt,Orisa,Junkrat,Wrecking Ball
Ecoe-2680,Reaper,D.Va,Ana,Mercy,Junkrat
NoWay-21876,Hanzo,Roadhog,Wrecking Ball,Pharah,Tracer
Ranger-1165,Widowmaker,Genji,Tracer,D.Va,Hanzo
Muse-4514,Tracer,McCree,Genji,Widowmaker,Soldier: 76
xXSailorXx-11709,Mei,Hanzo,Junkrat,Widowmaker,Symmetra
Lara-22267,D.Va,Mercy,Mei,Widowmaker,Moira
Fartdumpster-1478,Zenyatta,Zarya,Reinhardt,Winston,Symmetra
livwel-1854,Widowmaker,Mercy,Reaper,Junkrat,Hanzo
Sanhe-2694,Mercy,Ana,Moira,Baptiste,Symmetra
Menkai-2175,Junkrat,Hanzo,Moira,Lúcio,Mei
Mau4mo-2456,Hanzo,Reaper,Tracer,Widowmaker,Soldier: 76
DownrightDan-11465,Hanzo,McCree,Soldier: 76,Winston,Roadhog
FoboJack-2227,Reinhardt,Winston,Zarya,Hanzo,Roadhog
EvilSlayer-11705,D.Va,McCree,Moira,Junkrat,Genji
VIVI-11482,Ana,Tracer,Mercy,Widowmaker,Zenyatta
Hexanoon-2318,Reaper,Roadhog,Tracer,Mei,Soldier: 76
Craven-11727,McCree,Soldier: 76,Genji,Junkrat,Widowmaker
Ordy-11119,Roadhog,McCree,Zenyatta,Ashe,Widowmaker
Splin-2122,Tracer,Reaper,Soldier: 76,Junkrat,Orisa
Sketchy-11229,Junkrat,Widowmaker,Ana,Roadhog,Hanzo
COBALTEZ-1389,D.Va,Ana,Reinhardt,Winston,Zarya
Miryou-21933,Ana,Widowmaker,Lúcio,Pharah,Genji
BitCoinBoi-2682,Hanzo,Genji,Doomfist,McCree,Tracer
Melibellule-2553,Mei,Tracer,Mercy,Symmetra,Moira
EmpTy-11632,McCree,Reaper,Moira,Hanzo,Mei
Natsu-14147,Lúcio,Genji,Ashe,Widowmaker,Doomfist
babubabu-31473,Hanzo,McCree,Widowmaker,D.Va,Ana
MrTzuo-1358,Genji,McCree,Doomfist,Reinhardt,Reaper
kcboy23-1186,D.Va,Wrecking Ball,Moira,Sigma,Reaper
